state,total
Colorado,247800.0
Colorado,1577.0
Colorado,419.0
Colorado,1002.0
Colorado,38974.0
Colorado,2024468.0
Colorado,2.55
Colorado,80.8
Colorado,16.9
Colorado,90.7
Colorado,38.1
Colorado,7.2
Colorado,8.6
Colorado,67.6
Colorado,62.6
Colorado,13617654.0
Colorado,29488161.0
Colorado,50447098.0
Colorado,77034971.0
Colorado,67815200.0
Colorado,13073.0
Colorado,24.8
Colorado,60629.0
Colorado,32217.0
Colorado,11.0
Colorado,161737.0
Colorado,2253795.0
Colorado,117539555.0
Colorado,3.3
Colorado,480847.0
Colorado,547352.0
Colorado,284554.0
Colorado,194508.0
Colorado,85849.0
Colorado,442365.0
Colorado,51722.0
Colorado,469524.0
Colorado,48.5
Colorado,103641.89
Connecticut,3576452.0
Connecticut,3574114.0
Connecticut,0.1
Connecticut,3574097.0
Connecticut,5.2
Connecticut,5.7
Connecticut,21.1
Connecticut,22.9
Connecticut,16.1
Connecticut,14.2
Connecticut,51.2
Connecticut,51.3
Connecticut,80.6
Connecticut,11.8
Connecticut,0.5
Connecticut,4.7
Connecticut,0.1
Connecticut,2.3
Connecticut,15.7
Connecticut,67.7
Connecticut,199331.0
Connecticut,13.9
Connecticut,1499116.0
Connecticut,1487891.0
Connecticut,67.0
Connecticut,270500.0
Connecticut,2067.0
Connecticut,833.0
Connecticut,1075.0
Connecticut,5504.0
Connecticut,1352583.0
Connecticut,2.57
Connecticut,87.8
Connecticut,21.9
Connecticut,89.9
Connecticut,37.6
Connecticut,7.1
Connecticut,5.7
Connecticut,67.2
Connecticut,62.8
Connecticut,9542068.0
Connecticut,29573119.0
Connecticut,55160095.0
Connecticut,161962244.0
Connecticut,51632467.0
Connecticut,14381.0
Connecticut,25.4
Connecticut,70331.0
Connecticut,38803.0
Connecticut,9.8
Connecticut,89232.0
Connecticut,1503102.0
Connecticut,92555072.0
Connecticut,1.2
Connecticut,272809.0
Connecticut,326693.0
Connecticut,187845.0
Connecticut,106678.0
Connecticut,56113.0
Connecticut,259614.0
Connecticut,31056.0
Connecticut,281182.0
Connecticut,738.1
Connecticut,4842.36
Delaware,952065.0
Delaware,897936.0
Delaware,6.0
Delaware,897934.0
Delaware,5.8
Delaware,6.2
Delaware,21.5
