Date,state,handgun,long_gun,other,multiple,totals
2017-08-01,New Mexico,5000.0,3734.0,396.0,331,11690
2017-08-01,New York,9159.0,13239.0,891.0,158,28779
2017-08-01,North Carolina,1194.0,11949.0,649.0,196,41122
2017-08-01,North Dakota,1500.0,2567.0,92.0,65,4874
2017-08-01,Ohio,21432.0,14447.0,1242.0,1034,51103
2017-08-01,Oklahoma,9732.0,8978.0,819.0,948,24061
2017-08-01,Oregon,11780.0,8979.0,0.0,3,24904
2017-08-01,Pennsylvania,40628.0,13170.0,78.0,0,79020
2017-08-01,Puerto Rico,1169.0,227.0,42.0,34,1490
2017-08-01,Rhode Island,883.0,596.0,68.0,154,1718
2017-08-01,South Carolina,8268.0,6421.0,412.0,361,31663
2017-08-01,South Dakota,2082.0,3233.0,180.0,111,6686
2017-08-01,Tennessee,19965.0,14204.0,1191.0,0,49945
2017-08-01,Texas,37277.0,34884.0,2093.0,2474,110946
2017-08-01,Utah,2790.0,3154.0,190.0,0,22010
2017-08-01,Vermont,1232.0,1254.0,94.0,89,2676
2017-08-01,Virgin Islands,47.0,4.0,0.0,0,132
2017-08-01,Virginia,20797.0,14926.0,1161.0,0,39114
2017-08-01,Washington,13788.0,9776.0,1529.0,623,42120
2017-08-01,West Virginia,4946.0,4651.0,241.0,341,14770
2017-08-01,Wisconsin,12749.0,14317.0,642.0,42,40924
2017-08-01,Wyoming,1411.0,1762.0,62.0,86,4111
2017-07-01,Alabama,6046.0,4790.0,224.0,258,31474
2017-07-01,Alaska,2911.0,2458.0,238.0,180,6487
2017-07-01,Arizona,10194.0,6363.0,999.0,544,25714
2017-07-01,Arkansas,4343.0,3804.0,189.0,254,14015
2017-07-01,California,37027.0,21721.0,2514.0,0,114595
2017-07-01,Colorado,16063.0,11065.0,1004.0,1020,33811
2017-07-01,Connecticut,5450.0,1771.0,280.0,0,14525
2017-07-01,Delaware,1417.0,1000.0,71.0,60,2981
2017-07-01,District of Columbia,44.0,5.0,0.0,0,68
2017-07-01,Florida,47430.0,18941.0,2975.0,1844,92822
2017-07-01,Georgia,10685.0,6166.0,365.0,400,35085
2017-07-01,Guam,71.0,45.0,15.0,14,145
2017-07-01,Hawaii,0.0,0.0,0.0,0,1109
2017-07-01,Idaho,2887.0,3276.0,191.0,149,11871
2017-07-01,Illinois,18417.0,9895.0,0.0,765,108000
2017-07-01,Indiana,15385.0,9995.0,950.0,584,47145
2017-07-01,Iowa,94.0,1649.0,22.0,4,8801
2017-07-01,Kansas,4636.0,3914.0,325.0,278,13775
2017-07-01,Kentucky,7236.0,5118.0,241.0,419,390494
2017-07-01,Louisiana,9420.0,5992.0,663.0,575,20454
2017-07-01,Maine,2695.0,2259.0,144.0,122,5837
2017-07-01,Mariana Islands,11.0,1.0,0.0,1,13
2017-07-01,Maryland,3710.0,3922.0,172.0,18,10088
2017-07-01,Massachusetts,4034.0,2150.0,332.0,118,12900
2017-07-01,Michigan,9305.0,7687.0,339.0,208,33378
2017-07-01,Minnesota,5181.0,7734.0,430.0,245,41186
2017-07-01,Mississippi,5961.0,3980.0,247.0,320,14388
2017-07-01,Missouri,16151.0,11098.0,1013.0,857,32415
2017-07-01,Montana,2307.0,3168.0,137.0,156,7890
2017-07-01,Nebraska,97.0,1204.0,10.0,0,4266
2017-07-01,Nevada,3647.0,1962.0,219.0,223,8310
2017-07-01,New Hampshire,4228.0,2427.0,128.0,4,8333
2017-07-01,New Jersey,4351.0,2519.0,164.0,0,7034
2017-07-01,New Mexico,4834.0,3254.0,361.0,228,10580
2017-07-01,New York,9212.0,11301.0,879.0,170,25576
2017-07-01,North Carolina,1059.0,9316.0,551.0,180,34784
2017-07-01,North Dakota,1286.0,2030.0,85.0,62,4136
2017-07-01,Ohio,20990.0,14131.0,1227.0,959,49432
2017-07-01,Oklahoma,9377.0,6698.0,882.0,668,20738
2017-07-01,Oregon,11160.0,7877.0,0.0,1,23239
2017-07-01,Pennsylvania,37329.0,11694.0,159.0,0,73654
2017-07-01,Puerto Rico,1115.0,187.0,44.0,22,1381
2017-07-01,Rhode Island,836.0,593.0,64.0,129,1646
2017-07-01,South Carolina,7458.0,4622.0,405.0,327,26567
2017-07-01,South Dakota,1926.0,2355.0,200.0,99,6068
2017-07-01,Tennessee,20279.0,11425.0,1125.0,0,52643
2017-07-01,Texas,36913.0,27245.0,2653.0,2193,98338
2017-07-01,Utah,2562.0,2546.0,202.0,0,17925
2017-07-01,Vermont,1127.0,1012.0,87.0,47,2275
2017-07-01,Virgin Islands,39.0,6.0,1.0,2,151
2017-07-01,Virginia,20688.0,13381.0,971.0,0,36183
2017-07-01,Washington,12872.0,8636.0,1503.0,565,38369
2017-07-01,West Virginia,4860.0,4535.0,231.0,328,13970
2017-07-01,Wisconsin,11537.0,9946.0,585.0,44,32846
2017-07-01,Wyoming,1231.0,1395.0,82.0,77,3398
2017-06-01,Alabama,8275.0,4782.0,254.0,334,35687
2017-06-01,Alaska,2909.0,2254.0,225.0,190,6353
2017-06-01,Arizona,11507.0,6726.0,947.0,606,28359
2017-06-01,Arkansas,5634.0,4070.0,190.0,292,16614
